district,curriculum_name,publisher,subject,grade_band,edreports_overall_rating,gateway1_rating,gateway2_rating,gateway3_rating,review_year,notes
Edinburg CISD,Texas myView Literacy,Savvas Learning Company,ELA,K-5,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,2025,All Green rating
Edinburg CISD,Sharon Wells Mathematics,Sharon Wells Mathematics Inc.,Math,K-5,Not Reviewed,Not Reviewed,Not Reviewed,Not Reviewed,,Not submitted for edReports review
Edinburg CISD,HMH Texas Go Math!,Houghton Mifflin Harcourt,Math,K-8,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,Not Eligible,2015,Supplemental resource; older review tool
McAllen ISD,HMH Into Reading,Houghton Mifflin Harcourt,ELA,K-5,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,2020,All Green rating
McAllen ISD,HMH Into Literature,Houghton Mifflin Harcourt,ELA,6-8,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,2020,All Green rating
McAllen ISD,Holt Literature,Houghton Mifflin Harcourt,ELA,9-12,Does Not Meet Expectations,Does Not Meet Expectations,Not Eligible,Not Eligible,2015,Older adoption; legacy review tool
McAllen ISD,HMH Texas Go Math!,Houghton Mifflin Harcourt,Math,K-8,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,Not Eligible,2015,Primary math curriculum
McAllen ISD,Texas Algebra 1,McGraw Hill,Math,8-9,Not Reviewed,Not Reviewed,Not Reviewed,Not Reviewed,,Texas-specific edition not submitted for edReports review
IDEA Public Schools,Wit and Wisdom,Great Minds,ELA,K-8,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,2018,All Green rating
IDEA Public Schools,Eureka Math,Great Minds,Math,K-8,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,2015,Highest rated elementary math on edReports
